Cell,Cell_cluster
20:40,4
20:41,4
20:42,1
20:43,4
20:44,4
20:45,4
20:46,1
20:47,4
21:40,4
21:41,2
21:42,2
21:43,2
21:44,2
21:45,2
21:46,2
21:47,2
21:48,2
21:49,2
21:50,1
21:51,1
21:52,1
21:53,5
21:54,1
21:55,1
21:56,1
21:57,5
21:58,1
21:59,1
21:60,1
21:61,1
21:62,4
21:63,1
21:64,1
21:65,1
21:67,5
21:68,5
21:69,1
22:39,1
22:40,2
22:41,2
22:42,2
22:43,2
22:44,2
22:45,2
22:46,2
22:47,2
22:48,2
22:49,2
22:50,2
22:51,2
22:52,2
22:53,5
22:54,5
22:55,5
22:56,5
22:57,5
22:58,5
22:59,5
22:60,5
22:61,5
22:62,5
22:63,5
22:64,5
22:65,5
22:66,5
22:67,5
22:68,5
22:69,5
22:70,5
22:71,5
22:72,4
23:38,5
23:39,2
23:40,2
23:41,2
23:42,2
23:43,4
23:44,5
23:45,2
23:46,2
23:47,2
23:48,2
23:49,2
23:50,5
23:51,5
23:52,5
23:53,5
23:54,5
23:55,5
23:56,5
23:57,5
23:58,5
23:59,5
23:60,5
23:61,5
23:62,5
23:63,5
23:64,5
23:65,5
23:66,5
23:67,5
23:68,5
23:69,5
23:70,5
23:71,5
23:72,5
23:73,5
23:74,4
24:48,5
24:49,5
24:50,5
24:51,5
24:52,5
24:53,5
24:54,5
24:55,5
24:56,5
24:57,5
24:58,5
24:59,5
24:60,5
24:61,5
24:62,5
24:63,5
24:64,5
24:65,5
24:66,5
24:67,5
24:68,5
24:69,5
24:70,5
24:71,5
24:72,5
24:73,5
24:74,5
24:75,5
24:76,5
24:77,1
25:49,5
25:50,5
25:51,5
25:52,5
25:53,5
25:54,5
25:55,5
25:56,5
25:57,4
25:58,1
25:59,1
25:60,1
25:61,1
25:62,1
25:63,5
25:64,5
25:65,5
25:66,5
25:67,5
25:68,5
25:69,5
25:70,5
25:71,5
25:72,5
25:73,5
25:74,5
25:75,5
25:76,2
25:77,2
25:78,2
26:51,5
26:52,5
26:53,5
26:54,5
26:55,5
26:56,5
26:57,5
26:58,5
26:59,5
26:60,5
26:61,5
26:62,5
26:63,5
26:64,5
26:65,5
26:66,5
26:67,5
26:68,5
26:69,5
26:70,5
26:71,5
26:72,5
26:73,5
26:74,5
26:75,5
26:76,5
26:77,2
26:78,2
26:79,2
27:52,5
27:53,5
27:54,5
27:55,5
27:56,5
27:57,5
27:58,5
27:59,5
27:60,5
27:61,5
27:62,5
27:63,5
27:64,5
27:65,5
27:66,5
27:67,5
27:68,5
27:69,5
27:70,5
27:71,5
27:72,5
27:73,5
27:74,5
27:75,5
27:76,2
27:77,2
27:78,2
27:79,1
27:80,4
27:81,4
27:82,4
28:52,2
28:53,5
28:54,5
28:55,5
28:56,5
28:57,5
28:58,5
28:59,5
28:60,5
28:61,5
28:62,5
28:63,5
28:64,5
28:65,5
28:66,5
28:67,5
28:68,5
28:69,5
28:70,5
28:71,5
28:72,5
28:73,5
28:74,2
28:75,2
28:76,2
28:77,2
28:78,4
28:80,4
28:81,4
28:82,4
29:52,3
29:53,2
29:54,5
29:55,3
29:56,5
29:57,1
29:58,5
29:59,5
29:60,5
29:61,5
29:62,5
29:63,5
29:64,5
29:65,1
29:66,1
29:67,5
29:68,5
29:69,5
29:70,5
29:71,5
29:72,5
29:73,5
29:74,2
29:75,5
30:52,3
30:53,3
30:54,3
30:55,3
30:56,4
30:59,1
30:60,2
30:61,2
30:62,2
30:63,1
30:69,5
30:70,5
30:71,5
30:72,2
30:73,2
30:74,5
31:52,3
31:53,1
31:54,4
31:55,3
31:69,4
31:70,1
31:71,5
31:72,2
31:73,1
32:52,4
32:53,4
